Time,1ALTE,1BLTE,1CLTE,2ALTE,3ALTE,3BLTE,3CLTE,4ALTE,4BLTE,4CLTE,5ALTE,5BLTE,5CLTE
2015-11-24 18:30:00.0,193.305737,141.570308,76.325219,0.286263,51.686508,84.056446,11.186346,89.092792,391.763852,40.69286,13.889693,32.106206,25.338442
2015-11-24 18:45:00.0,77.880401,77.405331,104.677437,0.866953,16.851943,80.962271,67.180145,43.020165,141.061668,62.437891,41.720982,264.857976,50.690836
2015-11-24 19:00:00.0,241.200623,96.306894,97.623732,0.301402,55.472765,55.725489,128.535098,49.044439,200.581333,50.932285,17.271035,28.108374,59.82092
2015-11-24 19:15:00.0,185.802488,84.75001,191.049611,0.011196,54.504719,158.894048,111.126504,75.41012,225.639359,92.090329,50.084882,46.654797,73.68044
2015-11-24 19:30:00.0,309.396256,143.735857,84.734669,0.514866,52.489309,79.02123,26.425196,39.359507,139.355376,52.896563,9.413237,19.845647,64.93918
2015-11-24 19:45:00.0,339.960795,145.530931,99.265426,0.105847,132.184489,101.590051,14.424241,58.737124,294.229193,58.662051,9.35649,35.522041,131.952358
2015-11-24 20:00:00.0,129.937486,144.186705,95.983495,0.017876,81.734407,96.957002,55.863827,8.097621,134.707989,18.49754,7.537671,34.270603,174.611106
2015-11-24 20:15:00.0,125.805436,140.751633,151.541426,0.13036,56.719744,31.104612,12.860543,185.221415,93.153314,47.197025,3.296762,29.55209,55.709171
2015-11-24 20:30:00.0,148.50294,106.734514,132.835314,0.001642,59.159616,53.671047,20.07666,42.278542,103.225618,49.442213,10.778058,51.120943,54.780119
2015-11-24 20:45:00.0,269.878525,121.942142,261.528033,0.018218,37.862947,71.416472,8.125769,15.781463,90.679929,41.387537,24.454573,8.311757,51.28804
2015-11-24 21:00:00.0,75.496006,121.134749,187.26346,0.04325,43.083176,37.729293,27.620304,36.674798,124.692551,75.448313,44.683767,25.970461,77.411148
2015-11-24 21:15:00.0,124.36426,89.446273,372.10149,0.008065,38.415967,35.46678,5.637196,50.965565,104.652441,116.022482,16.728362,27.58658,35.364773
2015-11-24 21:30:00.0,152.276873,61.039843,85.822295,0.121291,17.258484,16.530067,32.066648,16.802214,82.723421,128.503748,40.740825,32.258712,30.371892
2015-11-24 21:45:00.0,161.358879,90.062592,67.448866,0.008975,28.813469,7.786992,6.616549,4.204219,69.252749,160.802189,13.028269,6.945591,11.964166
2015-11-24 22:00:00.0,75.775817,62.015086,129.44475,0.038631,15.168951,31.280038,71.496973,5.48335,144.865333,182.321881,53.112629,32.958183,38.368051
2015-11-24 22:15:00.0,89.877179,64.370904,230.723763,0.133632,63.217605,13.895556,99.042234,127.370574,79.370448,179.749721,13.306089,24.71952,15.702832
2015-11-24 22:30:00.0,161.123095,62.526996,179.956148,0.001139,62.83081,7.562829,87.103065,11.671862,153.861028,333.357406,19.944207,61.358412,22.990864
2015-11-24 22:45:00.0,70.345336,29.789616,155.30888,0.093593,7.86729,19.115566,9.76603,3.557438,60.617148,104.248141,24.138913,87.369515,21.249688
2015-11-24 23:00:00.0,63.807412,59.855862,89.096694,0.021118,33.838813,7.228585,4.032069,1.980797,84.945513,99.772498,5.455759,25.803439,22.239696
2015-11-24 23:15:00.0,89.089545,82.764193,146.66562,0.031656,22.926454,17.527941,3.460983,12.754225,72.859984,57.532878,23.272254,60.791181,114.65895
2015-11-24 23:30:00.0,60.670609,57.814603,166.220448,0.059268,19.587039,18.468579,21.549754,2.239345,73.831535,86.014738,27.37906,72.814782,33.196818
2015-11-24 23:45:00.0,52.62201,106.065581,186.076953,0.00964,58.093105,28.808202,0.943003,101.507143,35.982325,127.96831,27.777611,19.38289,35.313238
