time [s],line [1],track/ direction [1],loc. (actual) [km],loc. (target) [km],way (actual) [km],way (target) [km],speed (actual) [km/h],speed (target) [km/h],voltage [V],current [A],track-earth voltage [V],energy input [kWh],energy balance [kWh],usable braking energy [kWh],used braking energy [kWh],recuperated braking energy [kWh],energy braking resistor [kWh],state [1],tractive effort (actual) [kN],tractive effort (target) [kN],line and running resistance [kN],acceleration (actual) [m/(s*s)],acceleration (target) [m/(s*s)],desired speed [km/h],train configuration [1],utilization rate [%]
4086,2,2,8.7018385,8.7209997,0.6381611,0.619,41,41,789.9487305,-79.6230774,-0.8171716,3.5858123,2.6838307,1.2772943,1.2759734,0.9019815,0.0013208,50,-10.2493048,0,-6.225069,-0.0694444,0,41,2,100
4088,2,2,8.678978,8.6990004,0.6610222,0.641,41.2999992,41.2999992,778.5282593,-3.8962836,-0.4643562,3.5858123,2.6821456,1.2940351,1.2927141,0.9036667,0.001321,20,-3.5762234,0,-5.9907651,0.0416667,0,41.2999992,2,100
4090,2,2,8.6562281,8.677,0.6837722,0.663,40.5999985,40.5999985,782.1679077,-95.0593567,-0.4441406,3.5858123,2.6408389,1.3503977,1.3490766,0.9449736,0.0013211,50,-11.6132755,0,-5.9793444,-0.0972222,0,40.5999985,2,100
4092,2,2,8.6342001,8.6560001,0.7058,0.684,38.7000008,38.7000008,793.732605,-195.9111633,-1.2616045,3.5858123,2.5544493,1.4518434,1.4505216,1.0313631,0.0013218,50,-21.2979889,0,-6.0058913,-0.2638889,0,38.7000008,2,100
4094,2,2,8.6133385,8.6359997,0.7266611,0.704,36.4000015,36.4000015,829.305603,-208.1592865,-5.169374,3.5858123,2.458545,1.5628113,1.5614815,1.1272674,0.0013298,50,-24.5876541,0,-6.0761685,-0.3194444,0,36.4000015,2,100
4096,2,2,8.5935335,8.6169996,0.7464667,0.723,34.9000015,34.9000015,899.9998779,-3.3070016,-1.4519598,3.5858123,2.4568915,1.6395712,1.5781906,1.1289208,0.0613806,50,-18.2304726,0,-6.1577635,-0.2083333,0,34.9000015,2,100
4098,2,2,8.5747004,8.599,0.7653,0.741,32.9000015,32.9000015,899.999939,-2.9053502,-1.0593315,3.5858123,2.4554389,1.7404836,1.5946988,1.1303735,0.1457849,50,-24.940958,0,-8.8440142,-0.2777778,0,32.9000015,2,100
4100,2,2,8.5572557,8.5830002,0.7827445,0.757,29.8999996,29.8999996,899.9986572,-44.4108391,-0.7938224,3.5858123,2.4332335,1.8805044,1.6319597,1.1525789,0.2485447,50,-37.0077591,0,-12.8623428,-0.4166667,0,29.8999996,2,100
4102,2,2,8.5414495,8.5690002,0.79855,0.771,27,27,787.960022,-251.0340118,1.6996107,3.5858123,2.3233418,2.0054526,1.7569067,1.2624705,0.2485459,50,-36.7352371,0,-13.3946686,-0.4027778,0,27,2,100
4104,2,2,8.5274782,8.5570002,0.8125222,0.783,23.2999992,23.2999992,785.7810669,-264.739563,1.7306677,3.5858123,2.2077711,2.13608,1.8875331,1.3780411,0.248547,50,-43.2578964,0,-13.478548,-0.5138889,0,23.2999992,2,100
4106,2,2,8.5154495,8.5469999,0.82455,0.793,20,20,808.5734863,-186.6579132,-3.6028666,3.5858123,2.1239231,2.2349844,1.9864367,1.4618893,0.2485477,50,-38.3800087,0,-11.8200502,-0.4583333,0,20,2,100
4108,2,2,8.5053663,8.5380001,0.8346334,0.802,16.2999992,16.2999992,804.6308594,-161.5636902,-4.2082653,3.5858123,2.0517013,2.322262,2.073714,1.534111,0.248548,50,-39.4827805,0,-9.7034349,-0.5138889,0,16.2999992,2,100
4110,2,2,8.4984503,8.533,0.84155,0.807,8.6000004,8.6000004,804.8673706,-236.2419739,-4.3065939,3.5858123,1.946066,2.4429538,2.1944048,1.6397463,0.248549,50,-69.7799377,0,-7.8066983,-1.0694444,0,8.6000004,2,100
4112,2,2,8.4950056,8.5299997,0.8449944,0.81,3.8,3.8,779.8444214,-43.2820129,-1.1993942,3.5858123,1.9273143,2.4767611,2.2282121,1.6584982,0.248549,50,-45.4754219,0,-6.8427553,-0.6666667,0,3.8,2,100
4114,2,2,8.4938946,8.5290003,0.8461056,0.811,0.2,0.2,782.3428345,22.5248852,-0.534409,3.5956025,1.9371043,2.4820485,2.2334998,1.6584982,0.2485487,50,-35.8791962,0,-6.9046946,-0.5,0,0.2,2,100
4116,2,2,8.4938107,8.5279999,0.8461889,0.812,0.1,0.1,784.0053101,34.2619286,-0.0899937,3.6105256,1.9520274,2.4821811,2.2336321,1.6584982,0.248549,50,-7.74511,0,-6.9402628,-0.0138889,0,0.1,2,100
4118,2,2,8.4937277,8.5270004,0.8462722,0.813,0.2,0.2,778.8980103,34.5368347,1.911279,3.6254704,1.9669722,2.4822922,2.2337434,1.6584982,0.2485487,20,-6.13627,0,-6.9411173,0.0138889,0,0.2,2,100
4120,2,2,8.4936447,8.526,0.8463556,0.814,0.1,0.1,772.8685913,34.7566299,1.1496251,3.6403937,1.9818958,2.4824247,2.2338758,1.6584982,0.248549,50,-7.74511,0,-6.9402628,-0.0138889,0,0.1,2,100
4122,2,2,8.4935608,8.5249996,0.8464389,0.815,0.2,0.2,769.2483521,34.9694862,2.2574749,3.6553385,1.9968404,2.4825361,2.2339871,1.6584982,0.248549,20,-6.13627,0,-6.9411173,0.0138889,0,0.2,2,100
4124,2,2,8.4934502,8.5249996,0.84655,0.815,0.2,0.2,779.1781616,34.506012,1.3849488,3.6702752,2.0117772,2.4826546,2.2341058,1.6584982,0.2485487,30,-6.9402628,0,-6.9402628,0,0,0.2,2,100
4126,2,2,8.4933386,8.5240002,0.8466611,0.816,0.2,0.2,786.2706299,34.1947365,0.0425158,3.6852121,2.0267141,2.4827733,2.2342246,1.6584982,0.2485487,30,-6.9402628,0,-6.9402628,0,0,0.2,2,100
4128,2,2,8.493228,8.5240002,0.8467722,0.816,0.2,0.2,793.3786011,33.888401,-1.0738029,3.7001491,2.0416508,2.482892,2.2343433,1.6584982,0.2485487,30,-6.9402628,0,-6.9402628,0,0,0.2,2,100
4130,2,2,8.493144,8.5240002,0.8468556,0.816,0.1,0.1,788.5419312,34.0601044,-1.6481884,3.71507,2.056572,2.4830246,2.2344756,1.6584982,0.248549,50,-7.74511,0,-6.9402628,-0.0138889,0,0.1,2,100
4132,2,2,8.4930611,8.5240002,0.8469389,0.816,0.2,0.2,784.6418457,34.2829704,-1.8929731,3.7300143,2.0715163,2.4831357,2.234587,1.6584982,0.2485487,20,-6.13627,0,-6.9411173,0.0138889,0,0.2,2,100
4134,2,2,8.4929781,8.5240002,0.8470222,0.816,0.1,0.1,782.7015381,34.3191185,-1.6108648,3.7449374,2.0864394,2.4832683,2.2347193,1.6584982,0.248549,50,-7.74511,0,-6.9402628,-0.0138889,0,0.1,2,100
4136,2,2,8.4928942,8.5229998,0.8471056,0.817,0.2,0.2,786.3034668,34.2106361,-1.8752669,3.759882,2.1013837,2.4833794,2.2348306,1.6584982,0.2485487,20,-6.13627,0,-6.9411173,0.0138889,0,0.2,2,100
4138,2,2,8.4928112,8.5229998,0.8471889,0.817,0.1,0.1,791.8449707,33.9193268,-1.6943518,3.7748034,2.1163054,2.4835119,2.2349629,1.6584982,0.248549,50,-7.74511,0,-6.9402628,-0.0138889,0,0.1,2,100
4140,2,2,8.4927282,8.5229998,0.8472722,0.817,0.2,0.2,794.1730957,33.871727,-2.2561958,3.789748,2.1312499,2.483623,2.2350743,1.6584982,0.2485487,20,-6.13627,0,-6.9411173,0.0138889,0,0.2,2,100
